Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
PP9503,Saturday,2015-01-31,08:45:00,10:00:00,Surrey Female Peewee C1,Richmond Girls Peewee C1,Planet Ice Delta Canadian,Peewee,Red Group,Playoffs C Leagues,Surrey Female
PP9303,Saturday,2015-01-31,09:45:00,11:00:00,North Shore Winter Club Female Peewee C1,Tri Cities Female Peewee C1,North Shore Winter Club,Peewee,Black Group,Playoffs C Leagues,North Shore Winter Club
BP9003,Saturday,2015-01-31,10:00:00,11:15:00,Vancouver Girls Bantam A1,Surrey Female Bantam A1,Killarney Community Centre,Bantam,Flight 1,Playoffs Rep,Vancouver Girls
PP9001,Saturday,2015-01-31,11:00:00,12:15:00,North Shore Female Peewee A1,Richmond Girls Peewee A2,Ice Sports North Shore 1 Red,Peewee,Flight 1,Playoffs Rep,North Shore Female
PP9708,Saturday,2015-01-31,11:30:00,12:45:00,Vancouver Girls Peewee C2,Burnaby Female Peewee C1,Killarney Community Centre,Peewee,Blue Group,Playoffs C Leagues,Vancouver Girls
MP9703,Saturday,2015-01-31,14:15:00,15:30:00,Abbotsford Female Midget C1,Meadow Ridge Female Midget C1,Abbotsford Centre Ice 1 Blue,Midget,Blue Group,Playoffs C Leagues,Abbotsford Female
AP9002,Saturday,2015-01-31,15:30:00,16:45:00,Surrey Female Atom C1,North Shore Female Atom C1,North Surrey Arena 2,Atom,Black Group,Playoffs C Leagues,Surrey Female
PP9002,Saturday,2015-01-31,17:30:00,18:45:00,Tri Cities Female Peewee A1,Abbotsford Female Peewee A1,Coquitlam Recreation,Peewee,Flight 1,Playoffs Rep,Tri Cities Female
BP9307,Saturday,2015-01-31,17:45:00,19:00:00,Richmond Girls Bantam C1,South Delta Female Bantam C1,Richmond Ice Centre Igloo,Bantam,Black Group,Playoffs C Leagues,Richmond Girls
BP9503,Saturday,2015-01-31,17:45:00,19:00:00,Abbotsford Female Bantam C1,Tri Cities Female Bantam C2,Matsqui Recreation Centre,Bantam,Red Group,Playoffs C Leagues,Abbotsford Female
MP9302,Saturday,2015-01-31,18:45:00,20:00:00,North Shore Winter Club Female Midget C1,Langley Girls Midget C1,North Shore Winter Club,Midget,Black Group,Playoffs C Leagues,North Shore Winter Club
BP9302,Saturday,2015-01-31,20:00:00,21:15:00,Tri Cities Female Bantam C1,Surrey Female Bantam C1,Planet Ice Coquitlam 2 Pluto,Bantam,Black Group,Playoffs C Leagues,Tri Cities Female
MP9303,Saturday,2015-01-31,21:30:00,23:00:00,Tri Cities Female Midget C1,North Shore Female Midget C1,Planet Ice Coquitlam 2 Pluto,Midget,Black Group,Playoffs C Leagues,Tri Cities Female
BP9704,Sunday,2015-02-01,12:45:00,14:00:00,Vancouver Girls Bantam C1,Richmond Girls Bantam C2,Richmond Olympic Oval North,Bantam,Blue Group,Playoffs C Leagues,Vancouver Girls
PP9504,Sunday,2015-02-01,12:45:00,14:00:00,North Shore Female Peewee C2,Abbotsford Female Peewee C1,Ice Sports North Shore 3 Green,Peewee,Red Group,Playoffs C Leagues,North Shore Female
BP9707,Sunday,2015-02-01,13:00:00,14:15:00,North Shore Female Bantam C1,Langley Girls Bantam C1,Ice Sports North Shore 2 Blue,Bantam,Blue Group,Playoffs C Leagues,North Shore Female
BP9301,Sunday,2015-02-01,13:30:00,15:00:00,Richmond Girls Bantam C1,Tri Cities Female Bantam C1,Richmond Ice Centre Coliseum,Bantam,Black Group,Playoffs C Leagues,Richmond Girls
MP9505,Sunday,2015-02-01,14:30:00,16:00:00,Langley Girls Midget C2,South Delta Female Midget C1,Langley Twin Rinks 1,Midget,Red Group,Playoffs C Leagues,Langley Girls
BP9004,Sunday,2015-02-01,15:15:00,16:45:00,Richmond Girls Bantam A1,Abbotsford Female Bantam A1,Richmond Ice Centre Coliseum,Bantam,Flight 1,Playoffs Rep,Richmond Girls
PP9703,Sunday,2015-02-01,15:45:00,17:00:00,Tri Cities Female Peewee C2,Meadow Ridge Female Peewee C1,Planet Ice Coquitlam 1 Mars,Peewee,Blue Group,Playoffs C Leagues,Tri Cities Female
PP9004,Sunday,2015-02-01,16:00:00,17:30:00,Richmond Girls Peewee A2,Surrey Female Peewee A1,Richmond Ice Centre Forum,Peewee,Flight 1,Playoffs Rep,Richmond Girls
MP9304,Sunday,2015-02-01,16:15:00,17:45:00,Langley Girls Midget C1,Richmond Girls Midget C1,Langley Twin Rinks 1,Midget,Black Group,Playoffs C Leagues,Langley Girls
PP9006,Sunday,2015-02-01,17:30:00,18:45:00,Vancouver Girls Peewee A1,Tri Cities Female Peewee A1,Hillcrest Centre Arena,Peewee,Flight 1,Playoffs Rep,Vancouver Girls
PP9505,Sunday,2015-02-01,17:45:00,19:00:00,Richmond Girls Peewee C1,Langley Girls Peewee C2,Richmond Ice Centre Igloo,Peewee,Red Group,Playoffs C Leagues,Richmond Girls
PP9304,Sunday,2015-02-01,18:45:00,20:00:00,South Delta Female Peewee C1,Langley Girls Peewee C1,Tilbury Ice,Peewee,Black Group,Playoffs C Leagues,South Delta
JP9001,Sunday,2015-02-01,19:45:00,21:15:00,Surrey Female Juvenile C1,Chilliwack Female Juvenile C1,Surrey Sport & Leisure Centre Arena 3 Green,Juvenile,Black Group,Playoffs C Leagues,Surrey Female
BP9705,Monday,2015-02-02,18:45:00,20:15:00,Meadow Ridge Female Bantam C1,Richmond Girls Bantam C2,Planet Ice Maple Ridge 1 Cam Neely,Bantam,Blue Group,Playoffs C Leagues,Meadow Ridge Female
