Game #,Day,Date,Start,End,Home Team,Away Team,Arena
NL9000,Sunday,11/16/2014,9:15,10:15,Richmond Girls Novice C2,Surrey Female Novice C1,Richmond Ice Centre Igloo
ML9505,Sunday,11/16/2014,9:45,11:15,Western Washington Female Midget C1,Richmond Girls Midget C2,Bellingham Sportsplex
NL9302,Sunday,11/16/2014,9:45,10:45,Abbotsford Female Novice C1,Meadow Ridge Female Novice C1,MSA Arena - Abbotsford
AL9502,Sunday,11/16/2014,11:00,12:15,Abbotsford Female Atom C1,North Shore Female Atom C4,MSA Arena - Abbotsford
AL9303,Sunday,11/16/2014,11:15,12:30,North Shore Winter Club Female Atom C1,Langley Girls Atom C1,North Shore Winter Club
AL9503,Sunday,11/16/2014,13:00,14:15,Tri-Cities Female Atom C3,North Shore Female Atom C3,Planet Ice Coquitlam 1 Mars
BL9012,Sunday,11/16/2014,13:00,14:15,North Shore Female Bantam A1,Surrey Female Bantam A1,Ice Sports North Shore 2 Blue
PL9003,Sunday,11/16/2014,13:30,15:00,Richmond Girls Peewee A1,Vancouver Girls Peewee A1,Richmond Ice Centre Coliseum
ML9506,Sunday,11/16/2014,14:30,16:00,Langley Girls Midget C2,South Delta Female Midget C1,Langley Twin Rinks 1
NL9303,Sunday,11/16/2014,14:30,15:30,Tri-Cities Female Novice C1,Burnaby Female Novice C1,Planet Ice Coquitlam 1 Mars
BL9004,Sunday,11/16/2014,15:15,16:45,Richmond Girls Bantam A1,Abbotsford Female Bantam A1,Richmond Ice Centre Coliseum
PL9506,Sunday,11/16/2014,15:45,17:00,Tri-Cities Female Peewee C2,Abbotsford Female Peewee C1,Planet Ice Coquitlam 1 Mars
NL9001,Sunday,11/16/2014,16:00,17:15,Vancouver Girls Novice C1,Richmond Girls Novice C1,Hillcrest Centre Arena
PL9004,Sunday,11/16/2014,16:00,17:30,Richmond Girls Peewee A2,Surrey Female Peewee A1,Richmond Ice Centre Forum
BL9305,Sunday,11/16/2014,16:15,17:30,Surrey Female Bantam C1,South Delta Female Bantam C1,Surrey Sport & Leisure Centre Arena 2 Purple
ML9307,Sunday,11/16/2014,16:15,17:45,Langley Girls Midget C1,Tri-Cities Female Midget C3,Langley Twin Rinks 1
PL9005,Sunday,11/16/2014,16:45,18:00,Abbotsford Female Peewee A1,North Shore Female Peewee A1,Abbotsford Centre Ice 1 Blue
ML9006,Sunday,11/16/2014,17:15,18:45,North Shore Female Midget A1,Tri-Cities Female Midget A1,West Vancouver Ice Arena
AL9323,Sunday,11/16/2014,17:45,19:00,Richmond Girls Atom C2,Meadow Ridge Female Atom C1,Richmond Ice Centre Forum
PL9507,Sunday,11/16/2014,17:45,19:00,Richmond Girls Peewee C1,Langley Girls Peewee C2,Richmond Ice Centre Igloo
PL9306,Sunday,11/16/2014,18:45,20:00,South Delta Female Peewee C1,Meadow Ridge Female Peewee C1,Tilbury Ice
ML9507,Sunday,11/16/2014,19:00,20:15,Tri-Cities Female Midget C2,Meadow Ridge Female Midget C1,Port Moody 2
BL9306,Monday,11/17/2014,18:45,20:15,Meadow Ridge Female Bantam C1,South Delta Female Bantam C1,Planet Ice Maple Ridge 1 Cam Neely
ML9508,Monday,11/17/2014,19:45,21:00,Richmond Girls Midget C2,Meadow Ridge Female Midget C1,Richmond Ice Centre Pond
ML9509,Monday,11/17/2014,19:45,21:15,South Delta Female Midget C1,Vancouver Girls Midget C2,Tilbury Ice
PL9542,Tuesday,11/18/2014,18:15,19:30,Tri-Cities Female Peewee C2,Surrey Female Peewee C1,Planet Ice Coquitlam 2 Pluto
BL9507,Tuesday,11/18/2014,18:45,20:00,Tri-Cities Female Bantam C2,Burnaby Female Bantam C1,Planet Ice Coquitlam 3 Venus
PL9308,Tuesday,11/18/2014,19:15,20:30,Langley Girls Peewee C1,Burnaby Female Peewee C1,Langley Sportsplex 1
PL9309,Tuesday,11/18/2014,19:15,20:30,Meadow Ridge Female Peewee C1,North Shore Female Peewee C1,Planet Ice Maple Ridge 2
PL9508,Tuesday,11/18/2014,19:45,21:00,Vancouver Girls Peewee C2,Langley Girls Peewee C2,Killarney Community Centre
ML9308,Tuesday,11/18/2014,20:15,21:30,North Shore Female Midget C1,Tri-Cities Female Midget C3,Harry Jerome Rec Centre
ML9007,Tuesday,11/18/2014,21:15,22:30,Vancouver Girls Midget A1,North Shore Female Midget A1,Killarney Community Centre
AL9304,Wednesday,11/19/2014,18:00,19:15,Tri-Cities Female Atom C2,North Shore Female Atom C2,Planet Ice Coquitlam 4 Saturn
PL9007,Wednesday,11/19/2014,18:00,19:15,Surrey Female Peewee A1,Tri-Cities Female Peewee A1,Cloverdale Arena
PL9031,Wednesday,11/19/2014,18:30,19:45,Richmond Girls Peewee A1,North Shore Female Peewee A1,Richmond Ice Centre Coliseum
AL9504,Wednesday,11/19/2014,18:45,20:00,South Delta Female Atom C1,Richmond Girls Atom C3,Tilbury Ice
ML9008,Wednesday,11/19/2014,20:15,21:45,Abbotsford Female Midget A1,Vancouver Girls Midget A1,Matsqui Recreation Centre
AL9008,Thursday,11/20/2014,18:15,19:30,North Shore Female Atom C1,Surrey Female Atom C1,Harry Jerome Rec Centre
ML9309,Thursday,11/20/2014,18:30,20:00,Richmond Girls Midget C1,Vancouver Girls Midget C1,Richmond Ice Centre Garage
PL9509,Thursday,11/20/2014,18:30,19:45,Abbotsford Female Peewee C1,Vancouver Girls Peewee C1,MSA Arena - Abbotsford
BL9005,Thursday,11/20/2014,19:30,20:45,Surrey Female Bantam A1,Abbotsford Female Bantam A1,Surrey Sport & Leisure Centre Arena 1 Blue
PL9510,Thursday,11/20/2014,19:30,21:00,Langley Girls Peewee C2,Surrey Female Peewee C1,Langley Sportsplex 2
ML9510,Thursday,11/20/2014,19:45,21:00,Meadow Ridge Female Midget C1,Surrey Female Midget C1,Planet Ice Maple Ridge 2
PL9311,Thursday,11/20/2014,19:45,21:00,North Shore Female Peewee C1,South Delta Female Peewee C1,Harry Jerome Rec Centre
BL9307,Thursday,11/20/2014,20:00,21:15,South Delta Female Bantam C1,North Shore Female Bantam C1,Tilbury Ice
BL9512,Thursday,11/20/2014,20:00,21:15,Abbotsford Female Bantam C1,Tri-Cities Female Bantam C2,Matsqui Recreation Centre
AL9003,Friday,11/21/2014,18:15,19:30,Richmond Girls Atom C1,Tri-Cities Female Atom C1,Richmond Ice Centre Igloo
BL9007,Friday,11/21/2014,19:30,20:45,North Shore Female Bantam A1,Vancouver Girls Bantam A1,Ice Sports North Shore 2 Blue
