Game #,Day,Date,Start,End,Home Team,Away Team,Arena
ML9027,Sunday,11/30/2014,17:15,18:45,North Shore Female Midget A1,Abbotsford Female Midget A1,West Vancouver Ice Arena
PL9020,Sunday,11/30/2014,17:30,18:45,Vancouver Girls Peewee A1,Surrey Female Peewee A1,Hillcrest Centre Arena
PL9523,Sunday,11/30/2014,17:45,19:00,Richmond Girls Peewee C1,Vancouver Girls Peewee C2,Richmond Ice Centre Igloo
PL9320,Sunday,11/30/2014,18:45,20:00,South Delta Female Peewee C1,Tri-Cities Female Peewee C1,Tilbury Ice
ML9523,Sunday,11/30/2014,19:00,20:15,Tri-Cities Female Midget C2,Richmond Girls Midget C2,Port Moody 2
BL9315,Monday,12/01/2014,18:45,20:15,Meadow Ridge Female Bantam C1,Tri-Cities Female Bantam C1,Planet Ice Maple Ridge 1 Cam Neely
ML9052,Monday,12/01/2014,19:45,21:00,Richmond Girls Midget A1,Surrey Female Midget A1,Richmond Ice Centre Pond
ML9501,Monday,12/01/2014,19:45,21:15,South Delta Female Midget C1,Surrey Female Midget C1,Tilbury Ice
PL9051,Tuesday,12/02/2014,18:15,19:30,Tri-Cities Female Peewee A1,Richmond Girls Peewee A2,Planet Ice Coquitlam 2 Pluto
BL9521,Tuesday,12/02/2014,18:45,20:00,Tri-Cities Female Bantam C2,Langley Girls Bantam C1,Planet Ice Coquitlam 3 Venus
PL9322,Tuesday,12/02/2014,19:15,20:30,Langley Girls Peewee C1,North Shore Winter Club Female Peewee C1,Langley Sportsplex 1
PL9323,Tuesday,12/02/2014,19:15,20:30,Meadow Ridge Female Peewee C1,South Delta Female Peewee C1,Planet Ice Maple Ridge 2
PL9324,Tuesday,12/02/2014,19:30,20:45,Burnaby Female Peewee C1,Tri-Cities Female Peewee C1,Kensington Arena
ML9300,Tuesday,12/02/2014,20:15,21:30,North Shore Female Midget C1,Vancouver Girls Midget C1,Harry Jerome Rec Centre
ML9021,Tuesday,12/02/2014,21:15,22:30,Vancouver Girls Midget A1,Surrey Female Midget A1,Killarney Community Centre
AL9312,Wednesday,12/03/2014,18:00,19:15,Tri-Cities Female Atom C2,North Shore Winter Club Female Atom C1,Planet Ice Coquitlam 4 Saturn
PL9021,Wednesday,12/03/2014,18:00,19:15,Surrey Female Peewee A1,Richmond Girls Peewee A2,Cloverdale Arena
BL9014,Wednesday,12/03/2014,18:30,19:45,Richmond Girls Bantam A1,North Shore Female Bantam A1,Richmond Ice Centre Coliseum
AL9512,Wednesday,12/03/2014,18:45,20:00,South Delta Female Atom C1,Tri-Cities Female Atom C3,Tilbury Ice
ML9022,Wednesday,12/03/2014,20:15,21:45,Abbotsford Female Midget A1,Richmond Girls Midget A1,Matsqui Recreation Centre
PL9517,Thursday,12/04/2014,18:30,19:45,Abbotsford Female Peewee C1,Langley Girls Peewee C2,MSA Arena - Abbotsford
PL9325,Thursday,12/04/2014,19:45,21:00,North Shore Female Peewee C1,Langley Girls Peewee C1,Harry Jerome Rec Centre
BL9016,Thursday,12/04/2014,20:00,21:15,Abbotsford Female Bantam A1,Surrey Female Bantam A1,Matsqui Recreation Centre
BL9316,Thursday,12/04/2014,20:00,21:15,South Delta Female Bantam C1,Surrey Female Bantam C1,Tilbury Ice
AL9007,Friday,12/05/2014,18:15,19:30,Richmond Girls Atom C1,North Shore Female Atom C1,Richmond Ice Centre Igloo
BL9017,Friday,12/05/2014,19:30,20:45,North Shore Female Bantam A1,Abbotsford Female Bantam A1,Ice Sports North Shore 2 Blue
BL9522,Friday,12/05/2014,19:45,21:15,Richmond Girls Bantam C2,Abbotsford Female Bantam C1,Richmond Ice Centre Igloo
ML9023,Friday,12/05/2014,19:45,21:15,Surrey Female Midget A1,Tri-Cities Female Midget A1,Surrey Sport & Leisure Centre Arena 3 Green
BL9317,Friday,12/05/2014,20:00,21:15,North Shore Female Bantam C1,Meadow Ridge Female Bantam C1,West Vancouver Ice Arena
BL9523,Friday,12/05/2014,20:30,22:00,Burnaby Female Bantam C1,Vancouver Girls Bantam C1,Burnaby Lake Arena
ML9524,Friday,12/05/2014,21:30,22:45,Surrey Female Midget C1,Richmond Girls Midget C2,Surrey Sport & Leisure Centre Arena 3 Green
PL9524,Saturday,12/06/2014,8:45,10:00,Surrey Female Peewee C1,Vancouver Girls Peewee C2,Planet Ice Delta Canadian
NL9006,Saturday,12/06/2014,9:00,10:15,Langley Girls Novice C1,Richmond Girls Novice C1,Langley Sportsplex 1
PL9326,Saturday,12/06/2014,9:45,11:00,North Shore Winter Club Female Peewee C1,Meadow Ridge Female Peewee C1,North Shore Winter Club
BL9018,Saturday,12/06/2014,10:00,11:15,Vancouver Girls Bantam A1,North Shore Female Bantam A1,Killarney Community Centre
PL9022,Saturday,12/06/2014,11:00,12:15,North Shore Female Peewee A1,Abbotsford Female Peewee A1,Ice Sports North Shore 1 Red
AL9313,Saturday,12/06/2014,11:15,12:30,North Shore Female Atom C2,Surrey Female Atom C2,Ice Sports North Shore 3 Green
AL9513,Saturday,12/06/2014,11:45,13:00,Richmond Girls Atom C3,Abbotsford Female Atom C1,Richmond Ice Centre Pond
ML9324,Saturday,12/06/2014,14:15,15:30,Abbotsford Female Midget C1,North Shore Female Midget C1,Abbotsford Centre Ice 1 Blue
BL9525,Saturday,12/06/2014,16:45,18:15,Langley Girls Bantam C1,Richmond Girls Bantam C2,George Preston Recreation Centre
ML9026,Saturday,12/06/2014,17:00,18:30,Western Washington Female Midget A1,Vancouver Girls Midget A1,Bellingham Sportsplex
PL9023,Saturday,12/06/2014,17:30,18:45,Tri-Cities Female Peewee A1,Vancouver Girls Peewee A1,Coquitlam Recreation
BL9318,Saturday,12/06/2014,17:45,19:00,Richmond Girls Bantam C1,South Delta Female Bantam C1,Richmond Ice Centre Igloo
BL9526,Saturday,12/06/2014,17:45,19:00,Abbotsford Female Bantam C1,Burnaby Female Bantam C1,Matsqui Recreation Centre
NL9313,Saturday,12/06/2014,18:00,19:00,Vancouver Girls Novice C2,North Shore Female Novice C1,Burnaby Winter Club
ML9325,Saturday,12/06/2014,18:45,20:00,North Shore Winter Club Female Midget C1,Richmond Girls Midget C1,North Shore Winter Club
BL9319,Saturday,12/06/2014,19:15,20:30,Tri-Cities Female Bantam C1,North Shore Female Bantam C1,Coquitlam Main
ML9326,Saturday,12/06/2014,20:45,22:00,Tri-Cities Female Midget C1,Tri-Cities Female Midget C3,Coquitlam Main
NL9314,Sunday,12/07/2014,8:45,10:00,North Shore Female Novice C2,Burnaby Female Novice C1,Ice Sports North Shore 2 Blue
AL9314,Sunday,12/07/2014,9:45,11:00,Meadow Ridge Female Atom C1,Langley Girls Atom C1,Pitt Meadows Arena Volkswagen Blue
ML9525,Sunday,12/07/2014,9:45,11:15,Western Washington Female Midget C1,South Delta Female Midget C1,Bellingham Sportsplex
AL9514,Sunday,12/07/2014,11:15,12:30,Meadow Ridge Female Atom C2,North Shore Female Atom C3,Pitt Meadows Arena Volkswagen Blue
NL9315,Sunday,12/07/2014,12:40,13:40,North Shore Winter Club Female Novice C1,Tri-Cities Female Novice C1,North Shore Winter Club
PL9525,Sunday,12/07/2014,12:45,14:00,North Shore Female Peewee C2,Abbotsford Female Peewee C1,Ice Sports North Shore 3 Green
PL9024,Sunday,12/07/2014,13:30,15:00,Richmond Girls Peewee A1,Surrey Female Peewee A1,Richmond Ice Centre Coliseum
ML9526,Sunday,12/07/2014,14:30,16:00,Langley Girls Midget C2,Meadow Ridge Female Midget C1,Langley Twin Rinks 1
PL9526,Sunday,12/07/2014,15:45,17:00,Tri-Cities Female Peewee C2,Langley Girls Peewee C2,Planet Ice Coquitlam 1 Mars
PL9025,Sunday,12/07/2014,16:00,17:30,Richmond Girls Peewee A2,North Shore Female Peewee A1,Richmond Ice Centre Forum
BL9320,Sunday,12/07/2014,16:15,17:30,Surrey Female Bantam C1,Richmond Girls Bantam C1,Surrey Sport & Leisure Centre Arena 2 Purple
PL9026,Sunday,12/07/2014,16:45,18:00,Abbotsford Female Peewee A1,Tri-Cities Female Peewee A1,Abbotsford Centre Ice 1 Blue
ML9020,Sunday,12/07/2014,17:15,18:45,North Shore Female Midget A1,Surrey Female Midget A1,West Vancouver Ice Arena
AL9315,Sunday,12/07/2014,17:45,19:00,Richmond Girls Atom C2,Burnaby Female Atom C1,Richmond Ice Centre Forum
PL9527,Sunday,12/07/2014,17:45,19:00,Richmond Girls Peewee C1,Vancouver Girls Peewee C1,Richmond Ice Centre Igloo
PL9327,Sunday,12/07/2014,18:45,20:00,South Delta Female Peewee C1,Burnaby Female Peewee C1,Tilbury Ice
ML9330,Sunday,12/07/2014,19:00,20:15,Tri-Cities Female Midget C3,Langley Girls Midget C1,Port Moody 2
BL9321,Monday,12/08/2014,18:45,20:15,Meadow Ridge Female Bantam C1,Surrey Female Bantam C1,Planet Ice Maple Ridge 1 Cam Neely
ML9500,Monday,12/08/2014,19:45,21:00,Richmond Girls Midget C2,Vancouver Girls Midget C2,Richmond Ice Centre Pond
ML9529,Monday,12/08/2014,19:45,21:15,South Delta Female Midget C1,Langley Girls Midget C2,Tilbury Ice
PL9016,Tuesday,12/09/2014,18:15,19:30,Tri-Cities Female Peewee A1,Richmond Girls Peewee A1,Planet Ice Coquitlam 2 Pluto
BL9528,Tuesday,12/09/2014,18:45,20:00,Tri-Cities Female Bantam C2,Abbotsford Female Bantam C1,Planet Ice Coquitlam 3 Venus
PL9330,Tuesday,12/09/2014,19:15,20:30,Meadow Ridge Female Peewee C1,Tri-Cities Female Peewee C1,Planet Ice Maple Ridge 2
PL9331,Tuesday,12/09/2014,19:30,20:45,Burnaby Female Peewee C1,Langley Girls Peewee C1,Kensington Arena
PL9528,Tuesday,12/09/2014,19:45,21:00,Vancouver Girls Peewee C2,North Shore Female Peewee C2,Killarney Community Centre
ML9328,Tuesday,12/09/2014,20:15,21:30,North Shore Female Midget C1,North Shore Winter Club Female Midget C1,Harry Jerome Rec Centre
ML9028,Tuesday,12/09/2014,21:15,22:30,Vancouver Girls Midget A1,Abbotsford Female Midget A1,Killarney Community Centre
AL9009,Wednesday,12/10/2014,18:00,19:15,Tri-Cities Female Atom C1,Richmond Girls Atom C1,Planet Ice Coquitlam 4 Saturn
PL9028,Wednesday,12/10/2014,18:00,19:15,Surrey Female Peewee A1,Abbotsford Female Peewee A1,Cloverdale Arena
BL9536,Wednesday,12/10/2014,18:30,19:45,Richmond Girls Bantam C2,Tri-Cities Female Bantam C2,Richmond Ice Centre Coliseum
ML9029,Wednesday,12/10/2014,20:15,21:45,Abbotsford Female Midget A1,Surrey Female Midget A1,Matsqui Recreation Centre
AL9316,Thursday,12/11/2014,18:00,19:15,Langley Girls Atom C1,Tri-Cities Female Atom C2,Langley Sportsplex 2
ML9329,Thursday,12/11/2014,18:30,20:00,Richmond Girls Midget C1,Tri-Cities Female Midget C1,Richmond Ice Centre Garage
PL9529,Thursday,12/11/2014,18:30,19:45,Abbotsford Female Peewee C1,Tri-Cities Female Peewee C2,MSA Arena - Abbotsford
BL9020,Thursday,12/11/2014,19:30,20:45,Surrey Female Bantam A1,North Shore Female Bantam A1,Surrey Sport & Leisure Centre Arena 1 Blue
PL9530,Thursday,12/11/2014,19:30,21:00,Langley Girls Peewee C2,Richmond Girls Peewee C1,Langley Sportsplex 2
ML9530,Thursday,12/11/2014,19:45,21:00,Meadow Ridge Female Midget C1,Tri-Cities Female Midget C2,Planet Ice Maple Ridge 2
ML9531,Thursday,12/11/2014,19:45,21:00,Vancouver Girls Midget C2,Richmond Girls Midget C2,PNE Agrodome
PL9332,Thursday,12/11/2014,19:45,21:00,North Shore Female Peewee C1,Meadow Ridge Female Peewee C1,Harry Jerome Rec Centre
BL9021,Thursday,12/11/2014,20:00,21:15,Abbotsford Female Bantam A1,Vancouver Girls Bantam A1,Matsqui Recreation Centre
BL9322,Thursday,12/11/2014,20:00,21:15,South Delta Female Bantam C1,Meadow Ridge Female Bantam C1,Tilbury Ice
BL9022,Friday,12/12/2014,19:30,20:45,North Shore Female Bantam A1,Richmond Girls Bantam A1,Ice Sports North Shore 2 Blue
BL9529,Friday,12/12/2014,19:45,21:15,Richmond Girls Bantam C2,Vancouver Girls Bantam C1,Richmond Ice Centre Igloo
ML9030,Friday,12/12/2014,19:45,21:15,Surrey Female Midget A1,Richmond Girls Midget A1,Surrey Sport & Leisure Centre Arena 3 Green
BL9323,Friday,12/12/2014,20:00,21:15,North Shore Female Bantam C1,South Delta Female Bantam C1,West Vancouver Ice Arena
BL9530,Friday,12/12/2014,20:30,22:00,Burnaby Female Bantam C1,Tri-Cities Female Bantam C2,Burnaby Lake Arena
ML9032,Friday,12/12/2014,20:30,22:00,Tri-Cities Female Midget A1,Western Washington Female Midget A1,Coquitlam Recreation
ML9528,Friday,12/12/2014,20:30,22:00,Richmond Girls Midget C2,Western Washington Female Midget C1,Minoru Arena Silver Spectrum
ML9532,Friday,12/12/2014,21:30,22:45,Surrey Female Midget C1,South Delta Female Midget C1,Surrey Sport & Leisure Centre Arena 3 Green
PL9531,Saturday,12/13/2014,8:30,9:45,Vancouver Girls Peewee C1,Vancouver Girls Peewee C2,Killarney Community Centre
PL9532,Saturday,12/13/2014,8:45,10:00,Surrey Female Peewee C1,Abbotsford Female Peewee C1,Planet Ice Delta Canadian
AL9516,Saturday,12/13/2014,9:30,10:45,North Shore Female Atom C3,South Delta Female Atom C1,Ice Sports North Shore 1 Red
PL9333,Saturday,12/13/2014,9:45,11:00,North Shore Winter Club Female Peewee C1,Burnaby Female Peewee C1,North Shore Winter Club
BL9023,Saturday,12/13/2014,10:00,11:15,Vancouver Girls Bantam A1,Surrey Female Bantam A1,Killarney Community Centre
PL9029,Saturday,12/13/2014,11:00,12:15,North Shore Female Peewee A1,Vancouver Girls Peewee A1,Ice Sports North Shore 1 Red
ML9331,Saturday,12/13/2014,11:30,12:45,Vancouver Girls Midget C1,North Shore Female Midget C1,Killarney Community Centre
ML9332,Saturday,12/13/2014,14:15,15:30,Abbotsford Female Midget C1,Richmond Girls Midget C1,Abbotsford Centre Ice 1 Blue
AL9317,Saturday,12/13/2014,14:30,15:30,Burnaby Female Atom C1,Meadow Ridge Female Atom C1,Burnaby Lake Arena
BL9531,Saturday,12/13/2014,15:30,16:45,Surrey Female Bantam C2,Richmond Girls Bantam C2,North Surrey Arena 2
NL9316,Saturday,12/13/2014,15:45,16:45,Burnaby Female Novice C1,North Shore Winter Club Female Novice C1,Burnaby Lake Arena
AL9010,Saturday,12/13/2014,16:00,17:30,Surrey Female Atom C1,Richmond Girls Atom C1,Surrey Sport & Leisure Centre Arena 3 Green
BL9532,Saturday,12/13/2014,16:45,18:15,Langley Girls Bantam C1,Burnaby Female Bantam C1,George Preston Recreation Centre
ML9033,Saturday,12/13/2014,17:00,18:30,Western Washington Female Midget A1,North Shore Female Midget A1,Bellingham Sportsplex
PL9030,Saturday,12/13/2014,17:30,18:45,Tri-Cities Female Peewee A1,Surrey Female Peewee A1,Coquitlam Recreation
BL9006,Saturday,12/13/2014,17:45,19:00,Abbotsford Female Bantam A1,North Shore Female Bantam A1,Matsqui Recreation Centre
BL9325,Saturday,12/13/2014,19:15,20:30,Tri-Cities Female Bantam C1,Richmond Girls Bantam C1,Coquitlam Main
NL9317,Sunday,12/14/2014,8:30,9:30,Meadow Ridge Female Novice C1,North Shore Female Novice C2,Pitt Meadows Arena Volkswagen Blue
AL9318,Sunday,12/14/2014,9:00,10:15,Surrey Female Atom C2,Richmond Girls Atom C2,Newton Arena
AL9517,Sunday,12/14/2014,9:15,10:30,North Shore Female Atom C4,Meadow Ridge Female Atom C2,Ice Sports North Shore 1 Red
NL9008,Sunday,12/14/2014,9:15,10:15,Richmond Girls Novice C1,Richmond Girls Novice C2,Richmond Ice Centre Igloo
ML9533,Sunday,12/14/2014,9:45,11:15,Western Washington Female Midget C1,Meadow Ridge Female Midget C1,Bellingham Sportsplex
NL9318,Sunday,12/14/2014,9:45,10:45,Abbotsford Female Novice C1,Vancouver Girls Novice C2,MSA Arena - Abbotsford
AL9518,Sunday,12/14/2014,11:00,12:15,Abbotsford Female Atom C1,Vancouver Girls Atom C1,MSA Arena - Abbotsford
AL9319,Sunday,12/14/2014,11:15,12:30,North Shore Winter Club Female Atom C1,North Shore Female Atom C2,North Shore Winter Club
BL9534,Sunday,12/14/2014,12:45,14:00,Vancouver Girls Bantam C1,Langley Girls Bantam C1,Richmond Olympic Oval North
PL9533,Sunday,12/14/2014,12:45,14:00,North Shore Female Peewee C2,Langley Girls Peewee C2,Ice Sports North Shore 3 Green
AL9519,Sunday,12/14/2014,13:00,14:15,Tri-Cities Female Atom C3,Richmond Girls Atom C3,Planet Ice Coquitlam 1 Mars
ML9534,Sunday,12/14/2014,14:30,16:00,Langley Girls Midget C2,Vancouver Girls Midget C2,Langley Twin Rinks 1
NL9319,Sunday,12/14/2014,14:30,15:30,Tri-Cities Female Novice C1,Langley Girls Novice C2,Planet Ice Coquitlam 1 Mars
BL9024,Sunday,12/14/2014,15:15,16:45,Richmond Girls Bantam A1,Abbotsford Female Bantam A1,Richmond Ice Centre Coliseum
PL9534,Sunday,12/14/2014,15:45,17:00,Tri-Cities Female Peewee C2,Vancouver Girls Peewee C1,Planet Ice Coquitlam 1 Mars
BL9326,Sunday,12/14/2014,16:15,17:30,Surrey Female Bantam C1,Tri-Cities Female Bantam C1,Surrey Sport & Leisure Centre Arena 2 Purple
PL9033,Sunday,12/14/2014,16:45,18:00,Abbotsford Female Peewee A1,Richmond Girls Peewee A1,Abbotsford Centre Ice 1 Blue
ML9034,Sunday,12/14/2014,17:15,18:45,North Shore Female Midget A1,Vancouver Girls Midget A1,West Vancouver Ice Arena
PL9034,Sunday,12/14/2014,17:30,18:45,Vancouver Girls Peewee A1,Richmond Girls Peewee A2,Hillcrest Centre Arena
PL9535,Sunday,12/14/2014,17:45,19:00,Richmond Girls Peewee C1,Surrey Female Peewee C1,Richmond Ice Centre Igloo
PL9334,Sunday,12/14/2014,18:45,20:00,South Delta Female Peewee C1,North Shore Female Peewee C1,Tilbury Ice
ML9535,Sunday,12/14/2014,19:00,20:15,Tri-Cities Female Midget C2,Surrey Female Midget C1,Port Moody 2
BL9327,Monday,12/15/2014,18:45,20:15,Meadow Ridge Female Bantam C1,Richmond Girls Bantam C1,Planet Ice Maple Ridge 1 Cam Neely
ML9536,Monday,12/15/2014,19:45,21:00,Richmond Girls Midget C2,Langley Girls Midget C2,Richmond Ice Centre Pond
ML9537,Monday,12/15/2014,19:45,21:15,South Delta Female Midget C1,Tri-Cities Female Midget C2,Tilbury Ice
PL9037,Tuesday,12/16/2014,18:15,19:30,Tri-Cities Female Peewee A1,North Shore Female Peewee A1,Planet Ice Coquitlam 2 Pluto
BL9535,Tuesday,12/16/2014,18:45,20:00,Tri-Cities Female Bantam C2,Vancouver Girls Bantam C1,Planet Ice Coquitlam 3 Venus
PL9337,Tuesday,12/16/2014,19:15,20:30,Meadow Ridge Female Peewee C1,Langley Girls Peewee C1,Planet Ice Maple Ridge 2
PL9536,Tuesday,12/16/2014,19:45,21:00,Vancouver Girls Peewee C2,Tri-Cities Female Peewee C2,Killarney Community Centre
ML9336,Tuesday,12/16/2014,20:15,21:30,North Shore Female Midget C1,Tri-Cities Female Midget C1,Harry Jerome Rec Centre
ML9035,Tuesday,12/16/2014,21:15,22:30,Vancouver Girls Midget A1,Tri-Cities Female Midget A1,Killarney Community Centre
AL9320,Wednesday,12/17/2014,18:00,19:15,Tri-Cities Female Atom C2,Burnaby Female Atom C1,Planet Ice Coquitlam 4 Saturn
PL9035,Wednesday,12/17/2014,18:00,19:15,Surrey Female Peewee A1,Vancouver Girls Peewee A1,Cloverdale Arena
ML9312,Wednesday,12/17/2014,20:15,21:45,Abbotsford Female Midget C1,Tri-Cities Female Midget C1,Matsqui Recreation Centre
AL9011,Thursday,12/18/2014,18:15,19:30,North Shore Female Atom C1,Tri-Cities Female Atom C1,Harry Jerome Rec Centre
ML9337,Thursday,12/18/2014,18:30,20:00,Richmond Girls Midget C1,Langley Girls Midget C1,Richmond Ice Centre Garage
PL9537,Thursday,12/18/2014,18:30,19:45,Abbotsford Female Peewee C1,Richmond Girls Peewee C1,MSA Arena - Abbotsford
BL9025,Thursday,12/18/2014,19:30,20:45,Surrey Female Bantam A1,Abbotsford Female Bantam A1,Surrey Sport & Leisure Centre Arena 1 Blue
PL9538,Thursday,12/18/2014,19:30,21:00,Langley Girls Peewee C2,Vancouver Girls Peewee C2,Langley Sportsplex 2
ML9538,Thursday,12/18/2014,19:45,21:00,Meadow Ridge Female Midget C1,Richmond Girls Midget C2,Planet Ice Maple Ridge 2
ML9539,Thursday,12/18/2014,19:45,21:00,Vancouver Girls Midget C2,South Delta Female Midget C1,PNE Agrodome
PL9339,Thursday,12/18/2014,19:45,21:00,North Shore Female Peewee C1,Burnaby Female Peewee C1,Harry Jerome Rec Centre
BL9328,Thursday,12/18/2014,20:00,21:15,South Delta Female Bantam C1,Tri-Cities Female Bantam C1,Tilbury Ice
BL9533,Thursday,12/18/2014,20:00,21:15,Abbotsford Female Bantam C1,Surrey Female Bantam C2,Matsqui Recreation Centre
BL9027,Friday,12/19/2014,19:30,20:45,North Shore Female Bantam A1,Vancouver Girls Bantam A1,Ice Sports North Shore 2 Blue
BL9029,Friday,12/19/2014,19:45,21:15,Richmond Girls Bantam A1,Surrey Female Bantam A1,Richmond Ice Centre Igloo
ML9037,Friday,12/19/2014,19:45,21:15,Surrey Female Midget A1,North Shore Female Midget A1,Surrey Sport & Leisure Centre Arena 3 Green
BL9329,Friday,12/19/2014,20:00,21:15,North Shore Female Bantam C1,Surrey Female Bantam C1,West Vancouver Ice Arena
ML9338,Friday,12/19/2014,20:15,21:30,Tri-Cities Female Midget C3,North Shore Female Midget C1,Port Coquitlam Green
BL9537,Friday,12/19/2014,20:30,22:00,Burnaby Female Bantam C1,Richmond Girls Bantam C2,Burnaby Lake Arena
ML9038,Friday,12/19/2014,20:30,22:00,Richmond Girls Midget A1,Vancouver Girls Midget A1,Minoru Arena Silver Spectrum
ML9039,Friday,12/19/2014,20:30,22:00,Tri-Cities Female Midget A1,Abbotsford Female Midget A1,Coquitlam Recreation
ML9540,Friday,12/19/2014,21:30,22:45,Surrey Female Midget C1,Meadow Ridge Female Midget C1,Surrey Sport & Leisure Centre Arena 3 Green
PL9539,Saturday,12/20/2014,8:30,9:45,Vancouver Girls Peewee C1,Abbotsford Female Peewee C1,Killarney Community Centre
PL9540,Saturday,12/20/2014,8:45,10:00,Surrey Female Peewee C1,Langley Girls Peewee C2,Planet Ice Delta Canadian
BL9028,Saturday,12/20/2014,10:00,11:15,Vancouver Girls Bantam A1,Richmond Girls Bantam A1,Killarney Community Centre
PL9036,Saturday,12/20/2014,11:00,12:15,North Shore Female Peewee A1,Surrey Female Peewee A1,Ice Sports North Shore 1 Red
AL9321,Saturday,12/20/2014,11:15,12:30,North Shore Female Atom C2,Langley Girls Atom C1,Ice Sports North Shore 3 Green
ML9339,Saturday,12/20/2014,11:30,12:45,Vancouver Girls Midget C1,Richmond Girls Midget C1,Killarney Community Centre
ML9340,Saturday,12/20/2014,14:15,15:30,Abbotsford Female Midget C1,Tri-Cities Female Midget C3,Abbotsford Centre Ice 1 Blue
BL9538,Saturday,12/20/2014,15:30,16:45,Surrey Female Bantam C2,Burnaby Female Bantam C1,North Surrey Arena 2
ML9040,Saturday,12/20/2014,17:00,18:30,Western Washington Female Midget A1,Surrey Female Midget A1,Bellingham Sportsplex
NL9321,Saturday,12/20/2014,18:00,19:00,Vancouver Girls Novice C2,Tri-Cities Female Novice C1,Burnaby Winter Club
NL9322,Sunday,12/21/2014,8:45,10:00,North Shore Female Novice C1,Abbotsford Female Novice C1,Ice Sports North Shore 2 Blue
AL9322,Sunday,12/21/2014,9:00,10:15,Surrey Female Atom C2,North Shore Winter Club Female Atom C1,Newton Arena
ML9541,Sunday,12/21/2014,9:45,11:15,Western Washington Female Midget C1,Vancouver Girls Midget C2,Bellingham Sportsplex
NL9010,Sunday,12/21/2014,10:30,11:45,Surrey Female Novice C1,Richmond Girls Novice C2,Newton Arena
AL9522,Sunday,12/21/2014,11:00,12:15,Abbotsford Female Atom C1,Tri-Cities Female Atom C3,MSA Arena - Abbotsford
BL9541,Sunday,12/21/2014,12:45,14:00,Vancouver Girls Bantam C1,Abbotsford Female Bantam C1,Richmond Olympic Oval North
PL9541,Sunday,12/21/2014,12:45,14:00,North Shore Female Peewee C2,Vancouver Girls Peewee C1,Ice Sports North Shore 3 Green
PL9050,Sunday,12/21/2014,13:00,14:15,North Shore Female Peewee A1,Richmond Girls Peewee A1,Ice Sports North Shore 2 Blue
ML9542,Sunday,12/21/2014,14:30,16:00,Langley Girls Midget C2,Surrey Female Midget C1,Langley Twin Rinks 1
AL9523,Sunday,12/21/2014,16:00,17:15,Vancouver Girls Atom C1,Meadow Ridge Female Atom C2,Hillcrest Centre Arena
ML9343,Sunday,12/21/2014,16:15,17:45,Langley Girls Midget C1,North Shore Winter Club Female Midget C1,Langley Twin Rinks 1
PL9040,Sunday,12/21/2014,16:45,18:00,Abbotsford Female Peewee A1,Richmond Girls Peewee A2,Abbotsford Centre Ice 1 Blue
ML9041,Sunday,12/21/2014,17:15,18:45,North Shore Female Midget A1,Richmond Girls Midget A1,West Vancouver Ice Arena
PL9006,Sunday,12/21/2014,17:30,18:45,Vancouver Girls Peewee A1,Tri-Cities Female Peewee A1,Hillcrest Centre Arena
PL9042,Wednesday,01/07/2015,18:00,19:15,Surrey Female Peewee A1,Richmond Girls Peewee A1,Cloverdale Arena
ML9043,Wednesday,01/07/2015,20:15,21:45,Abbotsford Female Midget A1,North Shore Female Midget A1,Matsqui Recreation Centre
BL9030,Thursday,01/08/2015,19:30,20:45,Surrey Female Bantam A1,Vancouver Girls Bantam A1,Surrey Sport & Leisure Centre Arena 1 Blue
BL9031,Thursday,01/08/2015,20:00,21:15,Abbotsford Female Bantam A1,Richmond Girls Bantam A1,Matsqui Recreation Centre
BL9032,Friday,01/09/2015,19:30,20:45,North Shore Female Bantam A1,Surrey Female Bantam A1,Ice Sports North Shore 2 Blue
ML9044,Friday,01/09/2015,19:45,21:15,Surrey Female Midget A1,Vancouver Girls Midget A1,Surrey Sport & Leisure Centre Arena 3 Green
BL9033,Saturday,01/10/2015,10:00,11:15,Vancouver Girls Bantam A1,Abbotsford Female Bantam A1,Killarney Community Centre
PL9043,Saturday,01/10/2015,11:00,12:15,North Shore Female Peewee A1,Richmond Girls Peewee A2,Ice Sports North Shore 1 Red
ML9047,Saturday,01/10/2015,17:00,18:30,Western Washington Female Midget A1,Richmond Girls Midget A1,Bellingham Sportsplex
PL9044,Saturday,01/10/2015,17:30,18:45,Tri-Cities Female Peewee A1,Abbotsford Female Peewee A1,Coquitlam Recreation
BL9013,Sunday,01/11/2015,11:15,12:30,Vancouver Girls Bantam A1,Abbotsford Female Bantam A1,Richmond Olympic Oval North
PL9047,Sunday,01/11/2015,16:45,18:00,Abbotsford Female Peewee A1,North Shore Female Peewee A1,Abbotsford Centre Ice 1 Blue
ML9048,Sunday,01/11/2015,17:15,18:45,North Shore Female Midget A1,Tri-Cities Female Midget A1,West Vancouver Ice Arena
PL9048,Sunday,01/11/2015,17:30,18:45,Vancouver Girls Peewee A1,Tri-Cities Female Peewee A1,Hillcrest Centre Arena
ML9049,Tuesday,01/13/2015,21:15,22:30,Vancouver Girls Midget A1,North Shore Female Midget A1,Killarney Community Centre
PL9049,Wednesday,01/14/2015,18:00,19:15,Surrey Female Peewee A1,Tri-Cities Female Peewee A1,Cloverdale Arena
ML9050,Wednesday,01/14/2015,20:15,21:45,Abbotsford Female Midget A1,Vancouver Girls Midget A1,Matsqui Recreation Centre
